DFILESIZE,load,file,filename,siteid,uploaddirectory,contenttype,containerid,overwrite,majorversion,damsasp:extDocSource,damsasp:extDocId,,damsasp:extDocVersion,apm:apmNumber,apm:apmYear,apm:beginningBatesNumber,apm:endingBatesNumber,apm:startImage,apm:endImage,,remiccd:subtype,remiccd:sponsor,remiccd:dealNumber,,oipmroot:issuerName,oipmroot:issuerNumber
24994798,TRUE,\common\DAMS Training Guide v1.0.pdf,DAMS Training Guide v1.0.pdf,ginnie-mae-public,Documentation,cm:content,,FALSE,FALSE,,,,,,,,,,,,,,,,,
1980459,TRUE,\common\DAMS_Basic_Navigation_Guide.pdf,DAMS_Basic_Navigation_Guide.pdf,ginnie-mae-public,Documentation,cm:content,,FALSE,FALSE,,,,,,,,,,,,,,,,,
216241,TRUE,GMD042417.pdf,GMD042417.pdf,ginnie-mae-public,All Participant Memos,apm:ALL_PARTICIPANT_MEMOS,,,,Other,GMD042417,,1,95-24,1995,APMS-0005-1160,APMS-0005-1164,1,5,,,,,,,
9407206,TRUE,GMD042530.pdf,GMD042426.pdf,ginnie-mae-public,All Participant Memos,apm:ALL_PARTICIPANT_MEMOS,,,,Other,GMD042426,,1,96-6,1996,APMS-0005-1243,APMS-0005-1460,1,218,,,,,,,
83997,TRUE,GMD042601.pdf,GMD042435.pdf,ginnie-mae-public,All Participant Memos,apm:ALL_PARTICIPANT_MEMOS,,,,Other,GMD042435,,1,96-15,1996,APMS-0005-1522,APMS-0005-1523,1,2,,,,,,,
41878,TRUE,GMD042265.pdf,GMD042265.pdf,ginnie-mae-public,All Participant Memos,apm:ALL_PARTICIPANT_MEMOS,,,,Other,GMD042265,,1,2001-29,2001,APMS-0004-1371,APMS-0004-1371,1,1,,,,,,,
93121,TRUE,dams_sample.pdf,2013-090_04_Guaranty Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD008225,,,,,,,,,,,Test,12345,,,
2876436,TRUE,dams_sample.pdf,2013-017_06_Offering Circulator Supplement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD007541,,,,,,,,,,,Test,12345,,,
3345347,TRUE,dams_sample.pdf,2013-025_06_Offering Circulator Supplement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD007605,,,,,,,,,,,Test,12345,,,
8944822,TRUE,dams_sample.pdf,2013-028_08_Closing Document - Disk.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD007631,,,,,,,,,,,Test,12345,,,
