"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","apm:apmNumber","apm:apmYear","apm:beginningBatesNumber","apm:endingBatesNumber","apm:startImage","apm:endImage","apm:boxSequence","apm:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
337790,"GMD041910.pdf","GMD041910.pdf","All Participant Memos","APMs","All Participant Memos","","9621 - 1996","9621","1996","APMS-0002-1807","APMS-0002-1816","1","10","353","APMs","","GMD041910","1"
44851,"GMD041920.pdf","GMD041920.pdf","All Participant Memos","APMs","All Participant Memos","","9631 - 1996","9631","1996","APMS-0002-2220","APMS-0002-2220","1","1","363","APMs","","GMD041920","1"
41964,"GMD041952.pdf","GMD041952.pdf","All Participant Memos","APMs","All Participant Memos","","91-17 - 1991","91-17","1991","APMS-0003-1171","APMS-0003-1171","1","1","31","APMs","","GMD041952","1"
78610,"GMD041961.pdf","GMD041961.pdf","All Participant Memos","APMs","All Participant Memos","","92-26 - 1992","92-26","1992","APMS-0003-1320","APMS-0003-1321","1","2","40","APMs","","GMD041961","1"
3842786,"GMD041963.pdf","GMD041963.pdf","All Participant Memos","APMs","All Participant Memos","","92-24 - 1992","92-24","1992","APMS-0003-1329","APMS-0003-1413","1","86","42","APMs","","GMD041963","1"
10906,"GMD041997.pdf","GMD041997.pdf","All Participant Memos","APMs","All Participant Memos","","93-11 - 1993","93-11","1993","APMS-0003-1811","APMS-0003-1811","1","1","77","APMs","","GMD041997","1"
1256798,"GMD041998.pdf","GMD041998.pdf","All Participant Memos","APMs","All Participant Memos","","93-12 - 1993","93-12","1993","APMS-0003-1812","APMS-0003-1851","1","40","78","APMs","","GMD041998","1"
44575,"GMD042012.pdf","GMD042012.pdf","All Participant Memos","APMs","All Participant Memos","","94-4 - 1994","94-4","1994","APMS-0003-1910","APMS-0003-1910","1","1","92","APMs","","GMD042012","1"
662619,"GMD042042.pdf","GMD042042.pdf","All Participant Memos","APMs","All Participant Memos","","95-9 - 1995","95-9","1995","APMS-0003-2206","APMS-0003-2225","1","20","122","APMs","","GMD042042","1"
2115453,"GMD042045.pdf","GMD042045.pdf","All Participant Memos","APMs","All Participant Memos","","95-12 - 1995","95-12","1995","APMS-0003-2231","APMS-0003-2281","1","51","125","APMs","","GMD042045","1"
29404,"GMD042059.pdf","GMD042059.pdf","All Participant Memos","APMs","All Participant Memos","","95-26 - 1995","95-26","1995","APMS-0003-2410","APMS-0003-2410","1","1","139","APMs","","GMD042059","1"
26903,"GMD042064.pdf","GMD042064.pdf","All Participant Memos","APMs","All Participant Memos","","95-31 - 1995","95-31","1995","APMS-0003-2482","APMS-0003-2482","1","1","144","APMs","","GMD042064","1"
323866,"GMD042080.pdf","GMD042080.pdf","All Participant Memos","APMs","All Participant Memos","","96-14 - 1996","96-14","1996","APMS-0003-2801","APMS-0003-2809","1","9","160","APMs","","GMD042080","1"
26923,"GMD042082.pdf","GMD042082.pdf","All Participant Memos","APMs","All Participant Memos","","96-16 - 1996","96-16","1996","APMS-0003-2814","APMS-0003-2814","1","1","162","APMs","","GMD042082","1"
11380377,"GMD042091.pdf","GMD042091.pdf","All Participant Memos","APMs","All Participant Memos","","96-25 - 1996","96-25","1996","APMS-0003-2951","APMS-0003-3232","1","282","171","APMs","","GMD042091","1"
690167,"GMD042100.pdf","GMD042100.pdf","All Participant Memos","APMs","All Participant Memos","","97-2 - 1997","97-2","1997","APMS-0004-0019","APMS-0004-0038","1","20","181","APMs","","GMD042100","1"
365676,"GMD042106.pdf","GMD042106.pdf","All Participant Memos","APMs","All Participant Memos","","97-8 - 1997","97-8","1997","APMS-0004-0111","APMS-0004-0121","1","12","187","APMs","","GMD042106","1"
441528,"GMD042110.pdf","GMD042110.pdf","All Participant Memos","APMs","All Participant Memos","","97-12 - 1997","97-12","1997","APMS-0004-0160","APMS-0004-0172","1","13","191","APMs","","GMD042110","1"
821754,"GMD042118.pdf","GMD042118.pdf","All Participant Memos","APMs","All Participant Memos","","97-20 - 1997","97-20","1997","APMS-0004-0223","APMS-0004-0244","1","22","199","APMs","","GMD042118","1"
425787,"GMD042124.pdf","GMD042124.pdf","All Participant Memos","APMs","All Participant Memos","","97-26 - 1997","97-26","1997","APMS-0004-0270","APMS-0004-0282","1","13","205","APMs","","GMD042124","1"
47834,"GMD042135.pdf","GMD042135.pdf","All Participant Memos","APMs","All Participant Memos","","97-37 - 1997","97-37","1997","APMS-0004-0400","APMS-0004-0400","1","1","216","APMs","","GMD042135","1"
27993,"GMD042148.pdf","GMD042148.pdf","All Participant Memos","APMs","All Participant Memos","","98-8 - 1998","98-8","1998","APMS-0004-0496","APMS-0004-0496","1","1","229","APMs","","GMD042148","1"
439706,"GMD042156.pdf","GMD042156.pdf","All Participant Memos","APMs","All Participant Memos","","98-16 - 1998","98-16","1998","APMS-0004-0554","APMS-0004-0566","1","14","237","APMs","","GMD042156","1"
449535,"GMD042158.pdf","GMD042158.pdf","All Participant Memos","APMs","All Participant Memos","","98-18 - 1998","98-18","1998","APMS-0004-0581","APMS-0004-0593","1","13","239","APMs","","GMD042158","1"
