"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:boxSequence","damsasp:department","damsasp:library","damsasp:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion","damsasp:mcdfNumber","damsasp:trustNumber","damsasp:year"
493499,"GMD010157.pdf","GMD010157.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-006_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD010157","1","MCDF-0084-1619","2010-006",2011
648113,"GMD000212.pdf","GMD000212.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-084_01_Official Financial Advisor Letter","","OCFO","","01_Official Financial Advisor Letter","","GMD000212","1","MCDF-0072-0001","2010-084",2010
648113,"GMD009213.pdf","GMD009213.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-084_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009213","1","MCDF-0072-0001","2010-084",2010
659234,"GMD009221.pdf","GMD009221.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-085_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009221","1","MCDF-0072-0215","2010-085",2010
636360,"GMD009229.pdf","GMD009229.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-086_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009229","1","MCDF-0072-1442","2010-086",2010
657466,"GMD009237.pdf","GMD009237.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-087_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009237","1","MCDF-0072-1685","2010-087",2010
664645,"GMD009245.pdf","GMD009245.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-088_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009245","1","MCDF-0072-2153","2010-088",2010
621091,"GMD009253.pdf","GMD009253.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-089_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009253","1","MCDF-0072-2528","2010-089",2010
628825,"GMD009261.pdf","GMD009261.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-090_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009261","1","MCDF-0072-2880","2010-090",2010
629851,"GMD009269.pdf","GMD009269.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-091_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009269","1","MCDF-0072-3206","2010-091",2010
633410,"GMD009277.pdf","GMD009277.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-092_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009277","1","MCDF-0072-3521","2010-092",2010
631759,"GMD009285.pdf","GMD009285.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-093_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009285","1","MCDF-0072-3795","2010-093",2010
622276,"GMD009293.pdf","GMD009293.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-094_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009293","1","MCDF-0073-0001","2010-094",2010
627100,"GMD009301.pdf","GMD009301.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-095_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009301","1","MCDF-0073-0243","2010-095",2010
506524,"GMD009309.pdf","GMD009309.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-096_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009309","1","MCDF-0073-0560","2010-096",2010
503125,"GMD009317.pdf","GMD009317.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-097_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009317","1","MCDF-0073-0876","2010-097",2010
673402,"GMD009325.pdf","GMD009325.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-098_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009325","1","MCDF-0074-0001","2010-098",2010
630852,"GMD009333.pdf","GMD009333.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-099_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009333","1","MCDF-0074-0638","2010-099",2010
506607,"GMD009341.pdf","GMD009341.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2010-100_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD009341","1","MCDF-0074-1184","2010-100",2010
