"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:boxSequence","damsasp:department","damsasp:library","damsasp:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion","damsasp:mcdfNumber","damsasp:trustNumber","damsasp:year"
211462,"GMD000208.pdf","GMD000208.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-084_03_Sponsor Agreement","","OCFO","","03_Sponsor Agreement","","GMD000208","1","MCDF-0072-0024","2010-084",2010
211462,"GMD009215.pdf","GMD009215.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-084_03_Sponsor Agreement.pdf","","Capital Markets","","03_Sponsor Agreement","","GMD009215","1","MCDF-0072-0024","2010-084",2010
185343,"GMD009223.pdf","GMD009223.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-085_03_Sponsor Agreement.pdf","","Capital Markets","","03_Sponsor Agreement","","GMD009223","1","MCDF-0072-0239","2010-085",2010
164358,"GMD009231.pdf","GMD009231.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-086_03_Sponsor Agreement.pdf","","Capital Markets","","03_Sponsor Agreement","","GMD009231","1","MCDF-0072-1470","2010-086",2010
184039,"GMD009239.pdf","GMD009239.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-087_03_Sponsor Agreement.pdf","","Capital Markets","","03_Sponsor Agreement","","GMD009239","1","MCDF-0072-1709","2010-087",2010
191285,"GMD009247.pdf","GMD009247.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-088_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009247","1","MCDF-0072-2175","2010-088",2010
184563,"GMD009255.pdf","GMD009255.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-089_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009255","1","MCDF-0072-2557","2010-089",2010
162154,"GMD009263.pdf","GMD009263.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-090_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009263","1","MCDF-0072-2909","2010-090",2010
198675,"GMD009271.pdf","GMD009271.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-091_03_Sponsor Agreement.pdf","","Capital Markets","","03_Sponsor Agreement","","GMD009271","1","MCDF-0072-3243","2010-091",2010
186940,"GMD009279.pdf","GMD009279.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-092_03_Sponsor Agreement.pdf","","Capital Markets","","03_Sponsor Agreement","","GMD009279","1","MCDF-0072-3549","2010-092",2010
187016,"GMD009287.pdf","GMD009287.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-093_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009287","1","MCDF-0072-3826","2010-093",2010
165524,"GMD009295.pdf","GMD009295.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-094_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009295","1","MCDF-0073-0029","2010-094",2010
185407,"GMD009303.pdf","GMD009303.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-095_03_Sponsor Agreement.pdf","","Capital Markets","","03_Sponsor Agreement","","GMD009303","1","MCDF-0073-0266","2010-095",2010
227557,"GMD009311.pdf","GMD009311.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-096_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009311","1","MCDF-0073-0591","2010-096",2010
224852,"GMD009319.pdf","GMD009319.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-097_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009319","1","MCDF-0073-0903","2010-097",2010
172900,"GMD009327.pdf","GMD009327.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-098_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009327","1","MCDF-0074-0032","2010-098",2010
176203,"GMD009335.pdf","GMD009335.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-099_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009335","1","MCDF-0074-0661","2010-099",2010
258843,"GMD009343.pdf","GMD009343.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-100_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009343","1","MCDF-0074-1217","2010-100",2010
171817,"GMD009351.pdf","GMD009351.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-101_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009351","1","MCDF-0074-1502","2010-101",2010
167715,"GMD009359.pdf","GMD009359.pdf","CapitalMarkets","03_Sponsor Agreement","CapitalMarkets","","2010-102_03_Sponsor Agreement","","Capital Markets","","03_Sponsor Agreement","","GMD009359","1","MCDF-0074-1907","2010-102",2010
