"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:boxSequence","damsasp:department","damsasp:library","damsasp:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion","damsasp:mcdfNumber","damsasp:trustNumber","damsasp:year"
119993,"GMD000210.pdf","GMD000210.pdf","CapitalMarkets","05_Legal Advisor Letter","CapitalMarkets","","2010-084_05_Legal Advisor Letter","","OCFO","","05_Legal Advisor Letter","","GMD000210","1","MCDF-0072-0034","2010-084",2010
119993,"GMD009217.pdf","GMD009217.pdf","CapitalMarkets","05_Legal Advisor Letter","CapitalMarkets","","2010-084_05_Legal Advisor Letter.pdf","","Capital Markets","","05_Legal Advisor Letter","","GMD009217","1","MCDF-0072-0034","2010-084",2010
123332,"GMD009225.pdf","GMD009225.pdf","CapitalMarkets","05_Legal Advisor Letter","CapitalMarkets","","2010-085_05_Legal Advisor Letter.pdf","","Capital Markets","","05_Legal Advisor Letter","","GMD009225","1","MCDF-0072-0589","2010-085",2010
124536,"GMD009233.pdf","GMD009233.pdf","CapitalMarkets","05_Legal Advisor Letter","CapitalMarkets","","2010-086_05_Legal Advisor Letter.pdf","","Capital Markets","","05_Legal Advisor Letter","","GMD009233","1","MCDF-0072-1479","2010-086",2010
124604,"GMD009241.pdf","GMD009241.pdf","CapitalMarkets","05_Legal Advisor Letter","CapitalMarkets","","2010-087_05_Legal Advisor Letter","","Capital Markets","","05_Legal Advisor Letter","","GMD009241","1","MCDF-0072-1718","2010-087",2010
122787,"GMD009249.pdf","GMD009249.pdf","CapitalMarkets","05_Legal Advisor Letter","CapitalMarkets","","2010-088_05_Legal Advisor Letter","","Capital Markets","","05_Legal Advisor Letter","","GMD009249","1","MCDF-0072-2184","2010-088",2010
123131,"GMD009257.pdf","GMD009257.pdf","CapitalMarkets","05_Legal Advisor Letter","CapitalMarkets","","2010-089_05_Legal Advisor Letter.pdf","","Capital Markets","","05_Legal Advisor Letter","","GMD009257","1","MCDF-0072-2566","2010-089",2010
118057,"GMD009265.pdf","GMD009265.pdf","CapitalMarkets","05_Legal Advisor Letter","CapitalMarkets","","2010-090_05_Legal Advisor Letter.pdf","","Capital Markets","","05_Legal Advisor Letter","","GMD009265","1","MCDF-0072-2918","2010-090",2010
124741,"GMD009273.pdf","GMD009273.pdf","CapitalMarkets","05_Legal Advisor Letter","CapitalMarkets","","2010-091_05_Legal Advisor Letter.pdf","","Capital Markets","","05_Legal Advisor Letter","","GMD009273","1","MCDF-0072-3252","2010-091",2010
120752,"GMD009281.pdf","GMD009281.pdf","CapitalMarkets","05_Legal Advisor Letter","CapitalMarkets","","2010-092_05_Legal Advisor Letter.pdf","","Capital Markets","","05_Legal Advisor Letter","","GMD009281","1","MCDF-0072-3558","2010-092",2010
