"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:boxSequence","damsasp:department","damsasp:library","damsasp:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion","damsasp:mcdfNumber","damsasp:trustNumber","damsasp:year"
215238,"GMD009219.pdf","GMD009219.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-084_07_Misc.pdf","","Capital Markets","","07_Misc","","GMD009219","1","MCDF-0072-0209","2010-084",2010
216293,"GMD009227.pdf","GMD009227.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-085_07_Misc.pdf","","Capital Markets","","07_Misc","","GMD009227","1","MCDF-0072-0888","2010-085",2010
216636,"GMD009235.pdf","GMD009235.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-086_07_Misc.pdf","","Capital Markets","","07_Misc","","GMD009235","1","MCDF-0072-1518","2010-086",2010
218485,"GMD009243.pdf","GMD009243.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-087_07_Misc.pdf","","Capital Markets","","07_Misc","","GMD009243","1","MCDF-0072-1825","2010-087",2010
192857,"GMD009251.pdf","GMD009251.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-088_07_Misc.pdf","","Capital Markets","","07_Misc","","GMD009251","1","MCDF-0072-2287","2010-088",2010
221395,"GMD009259.pdf","GMD009259.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-089_07_Misc.pdf","","Capital Markets","","07_Misc","","GMD009259","1","MCDF-0072-2641","2010-089",2010
217613,"GMD009267.pdf","GMD009267.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-090_07_Misc.pdf","","Capital Markets","","07_Misc","","GMD009267","1","MCDF-0072-2989","2010-090",2010
218315,"GMD009275.pdf","GMD009275.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-091_07_Misc.pdf","","Capital Markets","","07_Misc","","GMD009275","1","MCDF-0072-3304","2010-091",2010
221648,"GMD009283.pdf","GMD009283.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-092_07_Misc","","Capital Markets","","07_Misc","","GMD009283","1","MCDF-0072-3601","2010-092",2010
218374,"GMD009291.pdf","GMD009291.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-093_07_Misc","","Capital Markets","","07_Misc","","GMD009291","1","MCDF-0072-4158","2010-093",2010
223194,"GMD009299.pdf","GMD009299.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-094_07_Misc","","Capital Markets","","07_Misc","","GMD009299","1","MCDF-0073-0073","2010-094",2010
194204,"GMD009307.pdf","GMD009307.pdf","CapitalMarkets","07_Misc","CapitalMarkets","","2010-095_07_Misc","","Capital Markets","","07_Misc","","GMD009307","1","MCDF-0073-0350","2010-095",2010
