"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:boxSequence","damsasp:department","damsasp:library","damsasp:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion","damsasp:mcdfNumber","damsasp:trustNumber","damsasp:year"
19440520,"GMD009220.pdf","GMD009220.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-084_08_Closing Document - Disk.pdf","","Capital Markets","","08_Closing Document - Disk","","GMD009220","","MCDF-0072-0215","2010-084",2010
31215309,"GMD009228.pdf","GMD009228.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-085_08_Closing Document - Disk.pdf","","Capital Markets","","08_Closing Document - Disk","","GMD009228","","MCDF-0072-0894","2010-085",2010
6872502,"GMD009236.pdf","GMD009236.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-086_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009236","","MCDF-0072-1524","2010-086",2010
13706787,"GMD009244.pdf","GMD009244.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-087_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009244","","MCDF-0072-1831","2010-087",2010
12908561,"GMD009252.pdf","GMD009252.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-088_08_Closing Document - Disk.pdf","","Capital Markets","","08_Closing Document - Disk","","GMD009252","","MCDF-0072-2293","2010-088",2010
10224008,"GMD009260.pdf","GMD009260.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-089_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009260","","MCDF-0072-2647","2010-089",2010
9221512,"GMD009268.pdf","GMD009268.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-090_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009268","","MCDF-0072-2995","2010-090",2010
28917770,"GMD009292.pdf","GMD009292.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-093_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009292","","MCDF-0072-4164","2010-093",2010
6847702,"GMD009300.pdf","GMD009300.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-094_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009300","","MCDF-0073-0079","2010-094",2010
8245790,"GMD009308.pdf","GMD009308.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-095_08_Closing Document - Disk.pdf","","Capital Markets","","08_Closing Document - Disk","","GMD009308","","MCDF-0073-0356","2010-095",2010
10046117,"GMD009316.pdf","GMD009316.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-096_08_Closing Document - Disk.pdf","","Capital Markets","","08_Closing Document - Disk","","GMD009316","","MCDF-0073-0642","2010-096",2010
8454310,"GMD009324.pdf","GMD009324.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-097_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009324","","MCDF-0073-0956","2010-097",2010
