"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:department","oipmroot:documentType","oipmroot:issuerNumber","oipmroot:issuerName","oipmroot:terminationDate","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
20691194,"GMD040554.pdf","GMD040554.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","ACCESS MORTGAGE CORPORATION - Jun-06","OIPM","ISSUER FILE","3950","ACCESS MORTGAGE CORPORATION","Jun-06","","GMD040554","1"
20061080,"GMD040555.pdf","GMD040555.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","HR & W DATA CENTER, INC. - Mar-04","OIPM","ISSUER FILE","3962","HR & W DATA CENTER, INC.","Mar-04","","GMD040555","1"
21902028,"GMD040556.pdf","GMD040556.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","TRANSLAND FINANCIAL SERVICES, INC - Oct-08","OIPM","ISSUER FILE","3971","TRANSLAND FINANCIAL SERVICES, INC","Oct-08","","GMD040556","1"
15733474,"GMD040557.pdf","GMD040557.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","OCALA FUNDING, LLC - Sep-08","OIPM","ISSUER FILE","4001","OCALA FUNDING, LLC","Sep-08","","GMD040557","1"
26182234,"GMD040558.pdf","GMD040558.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","AMERICAHOMEKEY, INC. - Mar-12","OIPM","ISSUER FILE","4069","AMERICAHOMEKEY, INC.","Mar-12","","GMD040558","1"
12863803,"GMD040559.pdf","GMD040559.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","COLONIAL SAVINGS F.A. - Dec-03","OIPM","ISSUER FILE","1997","COLONIAL SAVINGS F.A.","Dec-03","","GMD040559","1"
42685315,"GMD040560.pdf","GMD040560.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","BANK OF MISSISSIPPI - May-03","OIPM","ISSUER FILE","2265","BANK OF MISSISSIPPI","May-03","","GMD040560","1"
11164332,"GMD040561.pdf","GMD040561.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","WACHOVIA MORTGAGE CORP. - Dec-08","OIPM","ISSUER FILE","1447","WACHOVIA MORTGAGE CORP.","Dec-08","","GMD040561","1"
5689045,"GMD040562.pdf","GMD040562.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","PRECEDENT MORTGAGE COMPANY - Jul-00","OIPM","ISSUER FILE","3462","PRECEDENT MORTGAGE COMPANY","Jul-00","","GMD040562","1"
7604927,"GMD040563.pdf","GMD040563.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","PULTE MORTGAGE CORPORATION - May-97","OIPM","ISSUER FILE","1977","PULTE MORTGAGE CORPORATION","May-97","","GMD040563","1"
