"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:category","oipmroot:date","oipmroot:department","oipmroot:library","oipmroot:issuerNumber","oipmroot:issuerName","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
170880,"GMD018289.pdf","GMD018289.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","001_00-18  Release of Gi","MISC","","","MLTF","","","","GMD018289","1"
1261729,"GMD018290.pdf","GMD018290.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","001_11 8 88 DRG - Cash C","MISC","","","MLTF","","","","GMD018290","1"
49067,"GMD018774.pdf","GMD018774.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","The Hammond Company","MISC","","","MLTF","","","","GMD018774","1"
38952,"GMD018796.pdf","GMD018796.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","ITT Residential Capital","MISC","","","MLTF","","","","GMD018796","1"
40191,"GMD018797.pdf","GMD018797.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Great Financial Mortgage","MISC","","","MLTF","","","","GMD018797","1"
64376,"GMD018799.pdf","GMD018799.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Gershman Investment Corp","MISC","","","MLTF","","","","GMD018799","1"
37744,"GMD018802.pdf","GMD018802.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Directors Mortgage","MISC","","","MLTF","","","","GMD018802","1"
41417,"GMD018809.pdf","GMD018809.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Chemical Bank Geoserve","MISC","","","MLTF","","","","GMD018809","1"
34494,"GMD018778.pdf","GMD018778.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Platte Valley Funding, L","MISC","","","MLTF","","","","GMD018778","1"
34963,"GMD018794.pdf","GMD018794.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Lomas Mortgage USA","MISC","","","MLTF","","","","GMD018794","1"
26686,"GMD018788.pdf","GMD018788.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018788","1"
28989,"GMD018792.pdf","GMD018792.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Magna Bank of Illinois","MISC","","","MLTF","","","","GMD018792","1"
34799,"GMD018798.pdf","GMD018798.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Green Tree Financial Cor","MISC","","","MLTF","","","","GMD018798","1"
34035,"GMD018795.pdf","GMD018795.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Keycorp Mortgage Inc","MISC","","","MLTF","","","","GMD018795","1"
35663,"GMD018800.pdf","GMD018800.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GE Capital Corporation","MISC","","","MLTF","","","","GMD018800","1"
26329,"GMD018785.pdf","GMD018785.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018785","1"
33547,"GMD018807.pdf","GMD018807.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Coopers & Lybrand","MISC","","","MLTF","","","","GMD018807","1"
28234,"GMD018784.pdf","GMD018784.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018784","1"
26457,"GMD018783.pdf","GMD018783.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018783","1"
28577,"GMD018779.pdf","GMD018779.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018779","1"
26330,"GMD018780.pdf","GMD018780.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018780","1"
26973,"GMD018789.pdf","GMD018789.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018789","1"
35982,"GMD018787.pdf","GMD018787.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018787","1"
33699,"GMD018777.pdf","GMD018777.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Platte Valley Funding, L","MISC","","","MLTF","","","","GMD018777","1"
34719,"GMD018791.pdf","GMD018791.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Midland Mortgage Corpora","MISC","","","MLTF","","","","GMD018791","1"
52399,"GMD018803.pdf","GMD018803.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Credit Policy","MISC","","","MLTF","","","","GMD018803","1"
33930,"GMD018801.pdf","GMD018801.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Investment Company","MISC","","","MLTF","","","","GMD018801","1"
