"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:category","oipmroot:date","oipmroot:department","oipmroot:library","oipmroot:issuerNumber","oipmroot:issuerName","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
77310508,"GMD018085.pdf","GMD018085.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","Illinios Housing Development Authority","ISSR","","","MLTF","3924","Illinios Housing Development Authority","","GMD018085","1"
11296020,"GMD018086.pdf","GMD018086.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","Rockham Funding Corp.","ISSR","","","MLTF","3917","Rockham Funding Corp.","","GMD018086","1"
11459593,"GMD018087.pdf","GMD018087.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","Ziegler Financing Corporation","ISSR","","","MLTF","3912","Ziegler Financing Corporation","","GMD018087","1"
38359803,"GMD018088.pdf","GMD018088.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","Red Mortgage Capital, Inc.","ISSR","7/7/2004","","MLTF","3896","Red Mortgage Capital, Inc.","","GMD018088","1"
10414412,"GMD018089.pdf","GMD018089.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","The Phares Company","ISSR","","","MLTF","3854","The Phares Company","","GMD018089","1"
22678260,"GMD018090.pdf","GMD018090.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","Prudential Asset Resources, Inc.","ISSR","","","MLTF","3927","Prudential Asset Resources, Inc.","","GMD018090","1"
10849032,"GMD018091.pdf","GMD018091.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","First Maryland Mortgage Corporation","ISSR","","","MLTF","3640","First Maryland Mortgage Corporation","","GMD018091","1"
19854221,"GMD018092.pdf","GMD018092.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","National Cooperative Bank","ISSR","","","MLTF","3573","National Cooperative Bank","","GMD018092","1"
40659651,"GMD018095.pdf","GMD018095.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","Greystone Bank","ISSR","11/3/2009","","MLTF","4078","Greystone Bank","","GMD018095","1"
17023908,"GMD018094.pdf","GMD018094.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","Walker & Dunlop, LLC.","ISSR","10/29/2009","","MLTF","4080","Walker & Dunlop, LLC.","","GMD018094","1"
30756817,"GMD018093.pdf","GMD018093.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","Rhode Island Housing & Mortgage Finance Corp.","ISSR","5/30/2014","","MLTF","4301","Rhode Island Housing & Mortgage Finance Corp.","","GMD018093","1"
12558163,"GMD018096.pdf","GMD018096.pdf","ISSR MultiFamily","ISSR MultiFamily","ISSR MultiFamily","","Oak Grove Commercial Mortgage, LLC.","ISSR","5/13/2009","","MLTF","4065","Oak Grove Commercial Mortgage, LLC.","","GMD018096","1"
