"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:category","oipmroot:date","oipmroot:department","oipmroot:library","oipmroot:issuerNumber","oipmroot:issuerName","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
13383262,"GMD021490.pdf","GMD021490.pdf","MISC MultiFamily","MISC MultiFamily","MISC MultiFamily","","Capmark Financial Group, Inc.","MISC","12/31/2008","","MLTF","","","","GMD021490","1"
8034988,"GMD021491.pdf","GMD021491.pdf","MISC MultiFamily","MISC MultiFamily","MISC MultiFamily","","CBRE HMF, Inc. Application for Approval as a Ginnie Mae II MBS Program Issuer - Servicer","MISC","Dec-08","","MLTF","","","","GMD021491","1"
26711077,"GMD021492.pdf","GMD021492.pdf","MISC MultiFamily","MISC MultiFamily","MISC MultiFamily","","Dougherty Mortgage LLC - FHA and Ginnie Mae Application","MISC","3/17/2006","","MLTF","","","","GMD021492","1"
12501310,"GMD021493.pdf","GMD021493.pdf","MISC MultiFamily","MISC MultiFamily","MISC MultiFamily","","Correspondence and Reports","MISC","2010","","MLTF","","","","GMD021493","1"
3221579,"GMD021494.pdf","GMD021494.pdf","MISC MultiFamily","MISC MultiFamily","MISC MultiFamily","","Capmark Finance, Inc.","MISC","Jan-09","","MLTF","","","","GMD021494","1"
1738340,"GMD021495.pdf","GMD021495.pdf","MISC MultiFamily","MISC MultiFamily","MISC MultiFamily","","Monthly Project Status Report November 2008 Government National Mortgage Associations Contract Number: C-OPC-22592","MISC","Nov-08","","MLTF","","","","GMD021495","1"
1098518,"GMD021496.pdf","GMD021496.pdf","MISC MultiFamily","MISC MultiFamily","MISC MultiFamily","","Certificates of Liability Insurance","MISC","6/1/2009","","MLTF","","","","GMD021496","1"
1936388,"GMD021498.pdf","GMD021498.pdf","MISC MultiFamily","MISC MultiFamily","MISC MultiFamily","","Cenlar FSB and Subsidiary Consolidated Financial Statements","MISC","12/31/2007 and 12/31/2006","","MLTF","","","","GMD021498","1"
2511702,"GMD021497.pdf","GMD021497.pdf","MISC MultiFamily","MISC MultiFamily","MISC MultiFamily","","Financial Statements and Supplemental Information: Financial Freedom Senior Funding Corporation","MISC","12/31/2006 and 12/31/2005","","MLTF","","","","GMD021497","1"
80860239,"GMD021499.pdf","GMD021499.pdf","MISC MultiFamily","MISC MultiFamily","MISC MultiFamily","","Ginnie Mae Mortgage Backed Securities Guide 5500.3","MISC","11/1/1999","","MLTF","","","","GMD021499","1"
