"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:category","oipmroot:date","oipmroot:department","oipmroot:library","oipmroot:issuerNumber","oipmroot:issuerName","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
1307201,"GMD018138.pdf","GMD018138.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Draper and Kramer Mortgage Corporation","SUPP","","","MLTF","3697","Draper and Kramer Mortgage Corporation","","GMD018138","1"
1016884,"GMD018139.pdf","GMD018139.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Washingon Mutual Bank","SUPP","","","MLTF","3703","Washingon Mutual Bank","","GMD018139","1"
18993824,"GMD018141.pdf","GMD018141.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Arbor Commercial Mortgage, LLC.","SUPP","","","MLTF","3758","Arbor Commercial Mortgage, LLC.","","GMD018141","1"
990522,"GMD018140.pdf","GMD018140.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Wachovia Mortgage Corp.","SUPP","","","MLTF","1447","Wachovia Mortgage Corp.","","GMD018140","1"
9222674,"GMD018143.pdf","GMD018143.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","St. James Capital, LLC.","SUPP","","","MLTF","3949","St. James Capital, LLC.","","GMD018143","1"
14013321,"GMD018142.pdf","GMD018142.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Centennial Mortgage, Inc.","SUPP","","","MLTF","3044","Centennial Mortgage, Inc.","","GMD018142","1"
5262133,"GMD018145.pdf","GMD018145.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Cambridge Reality Capital, LTD.","SUPP","","","MLTF","3733","Cambridge Reality Capital, LTD.","","GMD018145","1"
6587883,"GMD018144.pdf","GMD018144.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Cambridge Reality Capital, LTD.","SUPP","10/14/2010","","MLTF","3733","Cambridge Reality Capital, LTD.","","GMD018144","1"
12929151,"GMD018146.pdf","GMD018146.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Greystone Servicing Corporation, Inc.","SUPP","","","MLTF","3500","Greystone Servicing Corporation, Inc.","","GMD018146","1"
17020197,"GMD018148.pdf","GMD018148.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Lancaster Pollard Mortgage Company","SUPP","3/5/2010","","MLTF","3785","Lancaster Pollard Mortgage Company","","GMD018148","1"
46007425,"GMD018147.pdf","GMD018147.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Midland Loan Services, Inc.","SUPP","","","MLTF","3812","Midland Loan Services, Inc.","","GMD018147","1"
31548350,"GMD018149.pdf","GMD018149.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","PNC Multifamily Finance, Inc.","SUPP","","","MLTF","3976","PNC Multifamily Finance, Inc.","","GMD018149","1"
16765607,"GMD018150.pdf","GMD018150.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Forest City Capital Corporation","SUPP","","","MLTF","1535","Forest City Capital Corporation","","GMD018150","1"
18944972,"GMD018152.pdf","GMD018152.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Red Mortgage Capital, Inc.","SUPP","","","MLTF","3896","Red Mortgage Capital, Inc.","","GMD018152","1"
367628,"GMD018151.pdf","GMD018151.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","The Phares Company","SUPP","","","MLTF","3854","The Phares Company","","GMD018151","1"
19038649,"GMD018153.pdf","GMD018153.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","P/R Mortgage and Investment Corp.","SUPP","","","MLTF","3487","P/R Mortgage and Investment Corp.","","GMD018153","1"
14068251,"GMD018155.pdf","GMD018155.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Greystone Servicing Corporation, Inc.","SUPP","","","MLTF","3500","Greystone Servicing Corporation, Inc.","","GMD018155","1"
25366532,"GMD018154.pdf","GMD018154.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Greystone Servicing Corporation, Inc.","SUPP","2/23/2007","","MLTF","3500","Greystone Servicing Corporation, Inc.","","GMD018154","1"
8192555,"GMD018156.pdf","GMD018156.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Wells Fargo Multifamily Capital","SUPP","7/20/2006","","MLTF","3998","Wells Fargo Multifamily Capital","","GMD018156","1"
165571,"GMD018158.pdf","GMD018158.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Zieglar Financial Corp.","SUPP","","","MLTF","3912","Zieglar Financial Corp.","","GMD018158","1"
3421085,"GMD018157.pdf","GMD018157.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","The Bankers Guarantee Title & Trust Company","SUPP","","","MLTF","1442","The Bankers Guarantee Title & Trust Company","","GMD018157","1"
9985869,"GMD018159.pdf","GMD018159.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Capital Funding Group, Inc.","SUPP","","","MLTF","3866","Capital Funding Group, Inc.","","GMD018159","1"
26148720,"GMD018160.pdf","GMD018160.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Great Lakes Financial Group, LTD.","SUPP","","","MLTF","3408","Great Lakes Financial Group, LTD.","","GMD018160","1"
26745,"GMD018162.pdf","GMD018162.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Dovenmuehle Mortgage Company","SUPP","6/15/2006","","MLTF","3509","Dovenmuehle Mortgage Company","","GMD018162","1"
