file,filename,siteid,uploaddirectory,contenttype,containerid,oipmroot:issuerNumber,oipmroot:issuerName,damsasp:extDocSource
DEF00128_4177_Umpqua Bank.pdf,DEF00128_4177_Umpqua Bank.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4177,Umpqua Bank,Other
DEF00129_4178_CMG Mortgage.pdf,DEF00129_4178_CMG Mortgage.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4178,CMG Mortgage,Other
DEF00130_4179_Summit Funding Inc.pdf,DEF00130_4179_Summit Funding Inc.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4179,Summit Funding Inc,Other
DEF00131_4173_Data Mortgage Inc DBA ESSEX Mortgage.pdf,DEF00131_4173_Data Mortgage Inc DBA ESSEX Mortgage.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4173,Data Mortgage Inc DBA ESSEX Mortgage,Other
DEF00132_4175_Vitek Real Estate Industries Group.pdf,DEF00132_4175_Vitek Real Estate Industries Group.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4175,Vitek Real Estate Industries Group,Other
DEF00133_4176_Member First Mortgage DBA Michigan First Mortgage.pdf,DEF00133_4176_Member First Mortgage DBA Michigan First Mortgage.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4176,Member First Mortgage DBA Michigan First Mortgage,Other
OIP00001_3913_MAJOR MORTGAGE.pdf,OIP00001_3913_MAJOR MORTGAGE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3913,MAJOR MORTGAGE,Other
OIP00002_3918_INDY MAC BANK.pdf,OIP00002_3918_INDY MAC BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3918,INDY MAC BANK,Other
OIP00003_3918_INDY MAC BANK.pdf,OIP00003_3918_INDY MAC BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3918,INDY MAC BANK,Other
OIP00004_3919_BSI FINANCIAL SERVICES.pdf,OIP00004_3919_BSI FINANCIAL SERVICES.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3919,BSI FINANCIAL SERVICES,Other
OIP00005_3920_FAIRBANKS CAPITAL CORP.pdf,OIP00005_3920_FAIRBANKS CAPITAL CORP.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3920,FAIRBANKS CAPITAL CORP,Other
OIP00006_3921_CHERRY CREEK MORTGAGE.pdf,OIP00006_3921_CHERRY CREEK MORTGAGE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3921,CHERRY CREEK MORTGAGE,Other
OIP00007_3921_CHERRY CREEK MORTGAGE.pdf,OIP00007_3921_CHERRY CREEK MORTGAGE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3921,CHERRY CREEK MORTGAGE,Other
OIP00008_3923_COLLATERAL MORTGAGE CAPITAL.pdf,OIP00008_3923_COLLATERAL MORTGAGE CAPITAL.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3923,COLLATERAL MORTGAGE CAPITAL,Other
OIP00009_3939_PLYMOUTH EXCHANGE.pdf,OIP00009_3939_PLYMOUTH EXCHANGE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3939,PLYMOUTH EXCHANGE,Other
OIP00010_3940_EMI EQUITY.pdf,OIP00010_3940_EMI EQUITY.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3940,EMI EQUITY,Other
OIP00011_3941_FIRST ALLIANCE BANK.pdf,OIP00011_3941_FIRST ALLIANCE BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3941,FIRST ALLIANCE BANK,Other
OIP00012_3942_SAN ANTONIO CREDIT UNION.pdf,OIP00012_3942_SAN ANTONIO CREDIT UNION.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3942,SAN ANTONIO CREDIT UNION,Other
OIP00013_3943_TEXAS BANK.pdf,OIP00013_3943_TEXAS BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3943,TEXAS BANK,Other
