file,filename,siteid,uploaddirectory,contenttype,containerid,oipmroot:issuerNumber,oipmroot:issuerName,damsasp:extDocSource
OIP00288_4158_Roundpoint Mortgage.pdf,OIP00288_4158_Roundpoint Mortgage.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4158,Roundpoint Mortgage,Other
OIP00287_4154_Mortgage Research.pdf,OIP00287_4154_Mortgage Research.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4154,Mortgage Research,Other
OIP00289_4168_Greystone.pdf,OIP00289_4168_Greystone.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4168,Greystone,Other
OIP00291_4175_Viteck Real Estate.pdf,OIP00291_4175_Viteck Real Estate.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4175,Viteck Real Estate,Other
OIP00292_4175_Viteck Real Estate.pdf,OIP00292_4175_Viteck Real Estate.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4175,Viteck Real Estate,Other
OIP00290_4173_Data Mortgage.pdf,OIP00290_4173_Data Mortgage.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4173,Data Mortgage,Other
OIP00266_4214_Vericrest Financial.pdf,OIP00266_4214_Vericrest Financial.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4214,Vericrest Financial,Other
OIP00267_4214_Vericrest Financial.pdf,OIP00267_4214_Vericrest Financial.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4214,Vericrest Financial,Other
OIP00269_4220_Cendera Funding.pdf,OIP00269_4220_Cendera Funding.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4220,Cendera Funding,Other
OIP00268_4220_Cendera Funding.pdf,OIP00268_4220_Cendera Funding.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4220,Cendera Funding,Other
OIP00270_4250_American Advisors Group.pdf,OIP00270_4250_American Advisors Group.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4250,American Advisors Group,Other
OIP00337_4255_Maverick Funding.pdf,OIP00337_4255_Maverick Funding.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4255,Maverick Funding,Other
OIP00339_4258_Veritas Funding.pdf,OIP00339_4258_Veritas Funding.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4258,Veritas Funding,Other
OIP00338_4255_Maverick Funding.pdf,OIP00338_4255_Maverick Funding.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4255,Maverick Funding,Other
OIP00340_4258_Veritas Funding.pdf,OIP00340_4258_Veritas Funding.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4258,Veritas Funding,Other
OIP00341_4278_American Financial Network.pdf,OIP00341_4278_American Financial Network.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4278,American Financial Network,Other
OIP00342_4278_American Financial Network.pdf,OIP00342_4278_American Financial Network.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4278,American Financial Network,Other
OIP00069_4134_JAVERRIER CAPITAL FUNDING.pdf,OIP00069_4134_JAVERRIER CAPITAL FUNDING.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4134,JAVERRIER CAPITAL FUNDING,Other
OIP00070_4143_CARRINGTON.pdf,OIP00070_4143_CARRINGTON.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4143,CARRINGTON,Other
OIP00071_4149_ONE REVERSE.pdf,OIP00071_4149_ONE REVERSE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4149,ONE REVERSE,Other
OIP00084_4122_1ST ALLIANCE LENDING.pdf,OIP00084_4122_1ST ALLIANCE LENDING.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4122,1ST ALLIANCE LENDING,Other
OIP00085_4123_GMFS LLC.pdf,OIP00085_4123_GMFS LLC.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4123,GMFS LLC,Other
OIP00086_4126_PACIFIC UNION FINANCIAL.pdf,OIP00086_4126_PACIFIC UNION FINANCIAL.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4126,PACIFIC UNION FINANCIAL,Other
OIP00087_4128_MYERS PARK MORTGAGE.pdf,OIP00087_4128_MYERS PARK MORTGAGE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4128,MYERS PARK MORTGAGE,Other
OIP00088_4128_MYERS PARK MORTGAGE.pdf,OIP00088_4128_MYERS PARK MORTGAGE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4128,MYERS PARK MORTGAGE,Other
OIP00180_4189_NATIONS DIRECT.pdf,OIP00180_4189_NATIONS DIRECT.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4189,NATIONS DIRECT,Other
OIP00181_4192_SILVERGATE BANK.pdf,OIP00181_4192_SILVERGATE BANK.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4192,SILVERGATE BANK,Other
OIP00182_4202_INTERNATIONAL CITY.pdf,OIP00182_4202_INTERNATIONAL CITY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4202,INTERNATIONAL CITY,Other
OIP00460_4213_CALIBER FUNDING.pdf,OIP00460_4213_CALIBER FUNDING.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4213,CALIBER FUNDING,Other
OIP00464_4214_VERICREST FINANCIAL.pdf,OIP00464_4214_VERICREST FINANCIAL.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4214,VERICREST FINANCIAL,Other
OIP00463_4214_VERICREST FINANCIAL.pdf,OIP00463_4214_VERICREST FINANCIAL.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4214,VERICREST FINANCIAL,Other
OIP00462_4214_VERICREST FINANCIAL.pdf,OIP00462_4214_VERICREST FINANCIAL.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4214,VERICREST FINANCIAL,Other
OIP00465_4214_VERICREST FINANCIAL.pdf,OIP00465_4214_VERICREST FINANCIAL.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4214,VERICREST FINANCIAL,Other
OIP00434_4312_AURORA FINANCIAL.pdf,OIP00434_4312_AURORA FINANCIAL.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4312,AURORA FINANCIAL,Other
OIP00436_4265_RICHMAC FUNDING.pdf,OIP00436_4265_RICHMAC FUNDING.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4265,RICHMAC FUNDING,Other
OIP00435_4318_RELIANCE FIRST.pdf,OIP00435_4318_RELIANCE FIRST.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4318,RELIANCE FIRST,Other
OIP00437_4269_FAIRWAY INDEPENDENT MORTGAGE GROUP.pdf,OIP00437_4269_FAIRWAY INDEPENDENT MORTGAGE GROUP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4269,FAIRWAY INDEPENDENT MORTGAGE GROUP,Other
OIP00461_4213_CALIBER FUNDING.pdf,OIP00461_4213_CALIBER FUNDING.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4213,CALIBER FUNDING,Other
OIP00512_4130_FRANKLIN CREDIT MANAGEMENT CORP.pdf,OIP00512_4130_FRANKLIN CREDIT MANAGEMENT CORP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4130,FRANKLIN CREDIT MANAGEMENT CORP,Other
OIP00513_4130_FRANKLIN CREDIT MANAGEMENT CORP.pdf,OIP00513_4130_FRANKLIN CREDIT MANAGEMENT CORP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4130,FRANKLIN CREDIT MANAGEMENT CORP,Other
OIP00502_4089_RESIDENTIAL BANCORP.pdf,OIP00502_4089_RESIDENTIAL BANCORP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4089,RESIDENTIAL BANCORP,Other
OIP00514_4130_FRANKLIN CREDIT MANAGEMENT CORP.pdf,OIP00514_4130_FRANKLIN CREDIT MANAGEMENT CORP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4130,FRANKLIN CREDIT MANAGEMENT CORP,Other
OIP00503_4089_RESIDENTIAL BANCORP.pdf,OIP00503_4089_RESIDENTIAL BANCORP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4089,RESIDENTIAL BANCORP,Other
OIP00504_4089_RESIDENTIAL BANCORP.pdf,OIP00504_4089_RESIDENTIAL BANCORP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4089,RESIDENTIAL BANCORP,Other
OIP00505_4119_NORWICH COMMERCIAL GROUP.pdf,OIP00505_4119_NORWICH COMMERCIAL GROUP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4119,NORWICH COMMERCIAL GROUP,Other
OIP00522_4075_DIRECT MORTGAGE CORP.pdf,OIP00522_4075_DIRECT MORTGAGE CORP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4075,DIRECT MORTGAGE CORP,Other
OIP00523_4089_RESIDENTIAL BANCORP.pdf,OIP00523_4089_RESIDENTIAL BANCORP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4089,RESIDENTIAL BANCORP,Other
OIP00524_4089_RESIDENTIAL BANCORP.pdf,OIP00524_4089_RESIDENTIAL BANCORP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4089,RESIDENTIAL BANCORP,Other
OIP00670_2304_GUARDIAN MORTGAGE COMPANY.pdf,OIP00670_2304_GUARDIAN MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,2304,GUARDIAN MORTGAGE COMPANY,Other
OIP00630_4250_AMERICAN ADVISORS GROUP.pdf,OIP00630_4250_AMERICAN ADVISORS GROUP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4250,AMERICAN ADVISORS GROUP,Other
OIP00631_4250_AMERICAN ADVISORS GROUP.pdf,OIP00631_4250_AMERICAN ADVISORS GROUP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4250,AMERICAN ADVISORS GROUP,Other
OIP00632_4250_AMERICAN ADVISORS GROUP.pdf,OIP00632_4250_AMERICAN ADVISORS GROUP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4250,AMERICAN ADVISORS GROUP,Other
OIP00633_4250_AMERICAN ADVISORS GROUP.pdf,OIP00633_4250_AMERICAN ADVISORS GROUP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4250,AMERICAN ADVISORS GROUP,Other
OIP00634_3345_FLAGSTAR BANK.pdf,OIP00634_3345_FLAGSTAR BANK.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3345,FLAGSTAR BANK,Other
OIP00635_3833_DHI MORTGAGE.pdf,OIP00635_3833_DHI MORTGAGE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3833,DHI MORTGAGE,Other
OIP00636_3833_DHI MORTGAGE.pdf,OIP00636_3833_DHI MORTGAGE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3833,DHI MORTGAGE,Other
OIP00648_4070_UNITED SECURITY FINANCIAL.pdf,OIP00648_4070_UNITED SECURITY FINANCIAL.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4070,UNITED SECURITY FINANCIAL,Other
OIP00649_4073_NEW DAY FINANCIAL.pdf,OIP00649_4073_NEW DAY FINANCIAL.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4073,NEW DAY FINANCIAL,Other
OIP00650_4073_NEW DAY FINANCIAL.pdf,OIP00650_4073_NEW DAY FINANCIAL.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4073,NEW DAY FINANCIAL,Other
OIP00651_4075_DIRECT MORTGAGE GROUP.pdf,OIP00651_4075_DIRECT MORTGAGE GROUP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4075,DIRECT MORTGAGE GROUP,Other
OIP00652_4075_DIRECT MORTGAGE GROUP.pdf,OIP00652_4075_DIRECT MORTGAGE GROUP.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4075,DIRECT MORTGAGE GROUP,Other
OIP00666_3134_NATIONWIDE ADVANTAGE.pdf,OIP00666_3134_NATIONWIDE ADVANTAGE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3134,NATIONWIDE ADVANTAGE,Other
OIP00667_3134_NATIONWIDE ADVANTAGE.pdf,OIP00667_3134_NATIONWIDE ADVANTAGE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3134,NATIONWIDE ADVANTAGE,Other
OIP00668_1770_MID ISLAND MORTAGE.pdf,OIP00668_1770_MID ISLAND MORTAGE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,1770,MID ISLAND MORTAGE,Other
OIP00669_1770_MID ISLAND MORTAGE.pdf,OIP00669_1770_MID ISLAND MORTAGE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,1770,MID ISLAND MORTAGE,Other
OIP00671_2314_CROWN MORTGAGE COMPANY.pdf,OIP00671_2314_CROWN MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,2314,CROWN MORTGAGE COMPANY,Other
OIP00672_2397_CENDANT.pdf,OIP00672_2397_CENDANT.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,2397,CENDANT,Other
OIP00673_2472_SECURITY SAVINGS MORTGAGE CORPORATION.pdf,OIP00673_2472_SECURITY SAVINGS MORTGAGE CORPORATION.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,2472,SECURITY SAVINGS MORTGAGE CORPORATION,Other
OIP00674_2520_1ST NATIONAL OF OMAHA.pdf,OIP00674_2520_1ST NATIONAL OF OMAHA.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,2520,1ST NATIONAL OF OMAHA,Other
OIP00675_3072_ROCKY MOUNTAIN MORTGAGE COMPANY.pdf,OIP00675_3072_ROCKY MOUNTAIN MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3072,ROCKY MOUNTAIN MORTGAGE COMPANY,Other
OIP00676_3100_BANC OF OKLAHOMA MORTGAGE CORPORATION.pdf,OIP00676_3100_BANC OF OKLAHOMA MORTGAGE CORPORATION.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3100,BANC OF OKLAHOMA MORTGAGE CORPORATION,Other
OIP00677_3177_TRUSTMARK CORPORATION.pdf,OIP00677_3177_TRUSTMARK CORPORATION.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3177,TRUSTMARK CORPORATION,Other
OIP00678_3190_CASTLE MORTGAGE CORPORATION.pdf,OIP00678_3190_CASTLE MORTGAGE CORPORATION.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3190,CASTLE MORTGAGE CORPORATION,Other
OIP00679_3216_FIFTH-THIRD MORTGAGE COMPANY.pdf,OIP00679_3216_FIFTH-THIRD MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3216,FIFTH-THIRD MORTGAGE COMPANY,Other
OIP00680_3219_UNION NATIONAL MORTGAGE COMPANY.pdf,OIP00680_3219_UNION NATIONAL MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3219,UNION NATIONAL MORTGAGE COMPANY,Other
OIP00681_3297_ARKANSAS DEVELOPMENT FINANCE AUTHORITY.pdf,OIP00681_3297_ARKANSAS DEVELOPMENT FINANCE AUTHORITY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3297,ARKANSAS DEVELOPMENT FINANCE AUTHORITY,Other
OIP00696_3871_FREEDOM MORTGAGE CORPORATION.pdf,OIP00696_3871_FREEDOM MORTGAGE CORPORATION.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3871,FREEDOM MORTGAGE CORPORATION,Other
OIP00697_4066_WESTSTAR MORTGAGE CORPORATION.pdf,OIP00697_4066_WESTSTAR MORTGAGE CORPORATION.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4066,WESTSTAR MORTGAGE CORPORATION,Other
OIP00698_3871_FREEDOM MORTGAGE CORPORATION.pdf,OIP00698_3871_FREEDOM MORTGAGE CORPORATION.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3871,FREEDOM MORTGAGE CORPORATION,Other
OIP00699_3991_HOUSING AND HEALTHCARE FINANCE LLC.pdf,OIP00699_3991_HOUSING AND HEALTHCARE FINANCE LLC.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3991,HOUSING AND HEALTHCARE FINANCE LLC,Other
OIP00713_3451_ESTATES MORTGAGE COMPANY.pdf,OIP00713_3451_ESTATES MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3451,ESTATES MORTGAGE COMPANY,Other
OIP00714_3454_DIME SAVINGS BANK.pdf,OIP00714_3454_DIME SAVINGS BANK.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3454,DIME SAVINGS BANK,Other
OIP00715_3458_TOWNE MORTGAGE COMPANY.pdf,OIP00715_3458_TOWNE MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3458,TOWNE MORTGAGE COMPANY,Other
