groupId,display,parentIds,ldapOnly
ALFRESCO_SEARCH_ADMINISTRATORS,ALFRESCO_SEARCH_ADMINISTRATORS,n/a,TRUE
ALFRESCO_ADMINISTRATORS,ALFRESCO_ADMINISTRATORS,n/a,TRUE
ALFRESCO_MODEL_ADMINISTRATORS,ALFRESCO_MODEL_ADMINISTRATORS,n/a,TRUE
EMAIL_CONTRIBUTORS,EMAIL_CONTRIBUTORS,n/a,TRUE
RECORD_CONTRIBUTORS,RECORD_CONTRIBUTORS,n/a,TRUE
SITE_ADMINISTRATORS,SITE_ADMINISTRATORS,n/a,TRUE
site_ginnie-mae-public_SiteConsumer,site_ginnie-mae-public_SiteConsumer,n/a,TRUE
site_ocm_SiteConsumer,site_ocm_SiteConsumer,n/a,TRUE
site_oipm_SiteConsumer,site_oipm_SiteConsumer,n/a,TRUE
site_omo_SiteConsumer,site_omo_SiteConsumer,n/a,TRUE
site_opevp_SiteConsumer,site_opevp_SiteConsumer,n/a,TRUE
site_ocfo_SiteConsumer,site_ocfo_SiteConsumer,n/a,TRUE
site_ccr_SiteConsumer,site_ccr_SiteConsumer,n/a,TRUE
site_oedts_SiteConsumer,site_oedts_SiteConsumer,n/a,TRUE
site_oer_SiteConsumer,site_oer_SiteConsumer,n/a,TRUE
site_oso_SiteConsumer,site_oso_SiteConsumer,n/a,TRUE
site_rm_SiteConsumer,site_rm_SiteConsumer,n/a,TRUE
OCM_GLOBAL_EMERGING_MARKET_CONTRIBUTOR,OCM_GLOBAL_EMERGING_MARKET_CONTRIBUTOR,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_GLOBAL_EMERGING_MARKET_CONSUMER,OCM_GLOBAL_EMERGING_MARKET_CONSUMER,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_GLOBAL_EMERGING_MARKET_COLLABORATOR,OCM_GLOBAL_EMERGING_MARKET_COLLABORATOR,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_GLOBAL_EMERGING_MARKET_MANAGER,OCM_GLOBAL_EMERGING_MARKET_MANAGER,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_STRUCTURED_SOLUTIONS_CONTRIBUTOR,OCM_STRUCTURED_SOLUTIONS_CONTRIBUTOR,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_STRUCTURED_SOLUTIONS_CONSUMER,OCM_STRUCTURED_SOLUTIONS_CONSUMER,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_STRUCTURED_SOLUTIONS_COLLABORATOR,OCM_STRUCTURED_SOLUTIONS_COLLABORATOR,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_STRUCTURED_SOLUTIONS_MANAGER,OCM_STRUCTURED_SOLUTIONS_MANAGER,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_MARKET_INTELLIGENCE_CONTRIBUTOR,OCM_MARKET_INTELLIGENCE_CONTRIBUTOR,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_MARKET_INTELLIGENCE_COLLABORATOR,OCM_MARKET_INTELLIGENCE_COLLABORATOR,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_MARKET_INTELLIGENCE_MANAGER,OCM_MARKET_INTELLIGENCE_MANAGER,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_MARKET_INTELLIGENCE_CONSUMER,OCM_MARKET_INTELLIGENCE_CONSUMER,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_HISTORICAL_DOCUMENTS_CONTRIBUTOR,OCM_HISTORICAL_DOCUMENTS_CONTRIBUTOR,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_HISTORICAL_DOCUMENTS_COLLABORATOR,OCM_HISTORICAL_DOCUMENTS_COLLABORATOR,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_HISTORICAL_DOCUMENTS_MANAGER,OCM_HISTORICAL_DOCUMENTS_MANAGER,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OCM_HISTORICAL_DOCUMENTS_CONSUMER,OCM_HISTORICAL_DOCUMENTS_CONSUMER,"GROUP_site_ocm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_SINGLE_FAMILY_CONSUMER,OIPM_SINGLE_FAMILY_CONSUMER,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_SINGLE_FAMILY_CONTRIBUTOR,OIPM_SINGLE_FAMILY_CONTRIBUTOR,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_SINGLE_FAMILY_COLLABORATOR,OIPM_SINGLE_FAMILY_COLLABORATOR,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_SINGLE_FAMILY_MANAGER,OIPM_SINGLE_FAMILY_MANAGER,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MULTIFAMILY_CONSUMER,OIPM_MULTIFAMILY_CONSUMER,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MULTIFAMILY_CONTRIBUTOR,OIPM_MULTIFAMILY_CONTRIBUTOR,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MULTIFAMILY_COLLABORATOR,OIPM_MULTIFAMILY_COLLABORATOR,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MULTIFAMILY_MANAGER,OIPM_MULTIFAMILY_MANAGER,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MONITORING_AND_ASSET_MANAGEMENT_CONSUMER,OIPM_MONITORING_AND_ASSET_MANAGEMENT_CONSUMER,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MONITORING_AND_ASSET_MANAGEMENT_CONTRIBUTOR,OIPM_MONITORING_AND_ASSET_MANAGEMENT_CONTRIBUTOR,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MONITORING_AND_ASSET_MANAGEMENT_COLLABORATOR,OIPM_MONITORING_AND_ASSET_MANAGEMENT_COLLABORATOR,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MONITORING_AND_ASSET_MANAGEMENT_MANAGER,OIPM_MONITORING_AND_ASSET_MANAGEMENT_MANAGER,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MANUFACTURED_HOUSING_CONSUMER,OIPM_MANUFACTURED_HOUSING_CONSUMER,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MANUFACTURED_HOUSING_CONTRIBUTOR,OIPM_MANUFACTURED_HOUSING_CONTRIBUTOR,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MANUFACTURED_HOUSING_COLLABORATOR,OIPM_MANUFACTURED_HOUSING_COLLABORATOR,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OIPM_MANUFACTURED_HOUSING_MANAGER,OIPM_MANUFACTURED_HOUSING_MANAGER,"GROUP_site_oipm_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
GNMA_APM_CONTRIBUTOR,GNMA_APM_CONTRIBUTOR,GROUP_site_ginnie-mae-public_SiteConsumer,FALSE
GNMA_APM_CONSUMER,GNMA_APM_CONSUMER,GROUP_site_ginnie-mae-public_SiteConsumer,FALSE
GNMA_APM_COLLABORATOR,GNMA_APM_COLLABORATOR,GROUP_site_ginnie-mae-public_SiteConsumer,FALSE
GNMA_APM_MANAGER,GNMA_APM_MANAGER,GROUP_site_ginnie-mae-public_SiteConsumer,FALSE
OPEVP_TFG_MANAGER,OPEVP_TFG_MANAGER,"GROUP_site_opevp_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OPEVP_TFG_CONTRIBUTOR,OPEVP_TFG_CONTRIBUTOR,"GROUP_site_opevp_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OPEVP_TFG_COLLABORATOR,OPEVP_TFG_COLLABORATOR,"GROUP_site_opevp_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OPEVP_TFG_CONSUMER,OPEVP_TFG_CONSUMER,"GROUP_site_opevp_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OPEVP_SSPC_MANAGER,OPEVP_SSPC_MANAGER,"GROUP_site_opevp_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OPEVP_SSPC_CONTRIBUTOR,OPEVP_SSPC_CONTRIBUTOR,"GROUP_site_opevp_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OPEVP_SSPC_COLLABORATOR,OPEVP_SSPC_COLLABORATOR,"GROUP_site_opevp_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
OPEVP_SSPC_CONSUMER,OPEVP_SSPC_CONSUMER,"GROUP_site_opevp_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
CCR_MEDIA_MANAGER,CCR_MEDIA_MANAGER,"GROUP_site_ccr_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
CCR_MEDIA_CONTRIBUTOR,CCR_MEDIA_CONTRIBUTOR,"GROUP_site_ccr_SiteConsumer,GROUP_site_ginnie-mae-public_SiteConsumer",FALSE
